Country,Tourism,Tourism_year
India,17914000,2019
China,30402000,2020
United States,45037000,2020
Indonesia,4053000,2020
Pakistan,966000,2012
Nigeria,5265000,2016
Brazil,6353000,2019
Bangladesh,323000,2019
Russia,6359000,2020
Ethiopia,518000,2020
Mexico,51128000,2020
Japan,4115800,2020
Philippines,1483000,2020
Egypt,13026000,2019
DR Congo,351000,2016
Vietnam,3837000,2020
Iran,1550000,2020
Turkey,15971000,2020
Germany,12449000,2020
Thailand,39916000,2019
Tanzania,1527000,2019
United Kingdom,11101000,2020
France,117109000,2020
South Africa,3886600,2020
Italy,38419000,2020
Kenya,2049000,2019
Myanmar,903000,2020
Colombia,1396000,2020
South Korea,2519000,2020
Uganda,473000,2020
Sudan,836000,2018
Spain,36410000,2020
Iraq,892000,2013
Algeria,591000,2020
Argentina,7339000,2019
Poland,88515000,2019
Canada,32430000,2019
Morocco,2802000,2020
Ukraine,3382000,2020
Angola,218000,2019
Saudi Arabia,20292000,2019
Uzbekistan,6749000,2019
Yemen,398000,2015
Mozambique,2033000,2019
Ghana,897000,2015
Peru,1119000,2020
Malaysia,4333000,2020
Nepal,230000,2020
Madagascar,87100,2020
Ivory Coast,668000,2020
Venezuela,429000,2017
Cameroon,1021000,2019
Niger,85000,2020
Australia,1828000,2020
Syria,2424000,2019
Mali,217000,2019
Burkina Faso,67000,2020
Sri Lanka,540000,2020
Malawi,871000,2018
Zambia,502000,2020
Kazakhstan,2035000,2020
Chile,5431000,2019
Romania,5023000,2020
Chad,10400,2020
Ecuador,2108000,2019
Guatemala,594000,2020
Senegal,1376000,2017
Netherlands,7265000,2020
Cambodia,1306000,2020
Zimbabwe,639000,2020
Guinea,99000,2017
Rwanda,1634000,2019
Benin,337000,2019
Burundi,299000,2017
Bolivia,323300,2020
Tunisia,2012000,2020
Haiti,938000,2019
Belgium,2584000,2020
Dominican Republic,2748000,2020
Jordan,1240000,2020
Cuba,1086000,2020
Honduras,669000,2020
Sweden,1957000,2020
Papua New Guinea,39000,2020
Czech Republic,37202000,2019
Azerbaijan,796000,2020
Tajikistan,1035000,2018
Greece,7406000,2020
Portugal,4208000,2020
Hungary,31641000,2020
United Arab Emirates,8084000,2020
Belarus,3598000,2020
Israel,4905000,2019
Togo,482000,2020
Sierra Leone,71000,2019
Austria,15091000,2020
Switzerland,11818000,2019
Laos,886400,2020
Hong Kong,3569000,2020
Nicaragua,474000,2020
Serbia,446000,2020
Libya,760000,2008
Paraguay,1077000,2020
Kyrgyzstan,8508000,2019
Bulgaria,4973000,2020
Turkmenistan,380000,1998
El Salvador,707000,2020
Republic of the Congo,158000,2018
Singapore,2742000,2020
Denmark,15595000,2020
Central African Republic,87000,2019
Slovakia,15299000,2018
Finland,896000,2020
Norway,1397000,2020
New Zealand,996000,2020
Costa Rica,1146500,2020
Lebanon,1936000,2019
Ireland,10951000,2019
Mauritania,30000,2000
Oman,869000,2020
Panama,647000,2020
Kuwait,2161000,2020
Croatia,21608000,2020
Eritrea,142000,2016
Georgia,1513000,2020
Mongolia,66900,2020
Uruguay,3480000,2019
Moldova,29000,2020
Puerto Rico,3882000,2020
Bosnia and Herzegovina,197000,2020
Gambia,246000,2020
Albania,2658000,2020
Jamaica,1329700,2020
Armenia,375000,2020
Qatar,582000,2020
Botswana,1830000,2018
Lithuania,2284000,2020
Namibia,187100,2020
Gabon,526000,2005
Lesotho,1142000,2019
Guinea-Bissau,52400,2019
Slovenia,1216000,2020
North Macedonia,118000,2020
Latvia,3204000,2020
Trinidad and Tobago,141000,2020
Bahrain,1909000,2020
Timor-Leste,74800,2019
Estonia,1695000,2020
Mauritius,316000,2020
Cyprus,4117000,2019
Eswatini,345300,2020
Djibouti,63000,2013
Fiji,168000,2020
Comoros,7000,2020
Guyana,86400,2020
Bhutan,29800,2020
Solomon Islands,4400,2020
Macau,5897000,2020
Luxembourg,525000,2020
Suriname,279000,2017
Montenegro,351000,2020
Cape Verde,180000,2020
Malta,718000,2020
Maldives,555000,2020
Brunei,1071000,2020
Belize,487000,2020
Bahamas,1794500,2020
Iceland,488000,2020
Vanuatu,82400,2020
French Polynesia,89400,2020
New Caledonia,31000,2020
Barbados,966000,2019
Sao Tome and Principe,33400,2018
Samoa,23900,2020
Curacao,1293000,2019
Saint Lucia,432500,2020
Guam,328000,2020
Kiribati,12000,2019
Grenada,217000,2020
Micronesia,18000,2019
Tonga,94000,2019
Seychelles,124500,2020
Aruba,1951000,2019
Saint Vincent and the Grenadines,392000,2019
United States Virgin Islands,8612000,2020
Antigua and Barbuda,384500,2020
Andorra,5207000,2020
Dominica,140000,2020
Cayman Islands,660000,2020
Bermuda,51400,2020
Northern Mariana Islands,487000,2019
Saint Kitts and Nevis,301400,2020
Turks and Caicos Islands,370400,2020
Sint Maarten,1952000,2019
American Samoa,900,2020
Marshall Islands,6100,2019
Liechtenstein,58400,2020
Monaco,159000,2020
San Marino,1904000,2019
British Virgin Islands,83000,2020
Palau,18400,2020
Tuvalu,3600,2019
Taiwan,11800000,2019
